text,text_clean,rating,sentiment
"Pengiriman lambat...slow respon
Kurang puas..barang china..
Kartu garansi kurang meyakinkan..",pengiriman lambat slow respon kurang puas barang china kartu garansi kurang meyakinkan,2,Negative
"Barang bagus scr design dan warna tp kenapa date nya kurang otomatis y? Pertama kali pakai sy harus manual kan date sampai 3hr trus jalan lg normal, hari ini sama lagi date nya gak jalan otomatis? Ini benar asli kan? Apa cara kerja nya mmg spt itu or bgmn? Lalu warna biru nya sdh mulai kelihatan pudar disisi bawah baru sy pakai 2 minggu kok cepat skl. Saya beli jam tgn 600rb baru pudar 2th stlh pemakaian.. tolong bs dijelaskan biar bintang nnt bs kembali berbicara utk anda. Bisa claim garansi ke toko anda? Krn harga jam ini mahal shrsnya sesuai dgn  kualitas. Thank",barang bagus scr design dan warna tp kenapa date nya kurang otomatis y pertama kali pakai sy harus manual kan date sampai hr trus jalan lg normal hari ini sama lagi date nya gak jalan otomatis ini benar asli kan apa cara kerja nya mmg spt itu or bgmn lalu warna biru nya sdh mulai kelihatan pudar disisi bawah baru sy pakai minggu kok cepat skl saya beli jam tgn rb baru pudar th stlh pemakaian tolong bs dijelaskan biar bintang nnt bs kembali berbicara utk anda bisa claim garansi ke toko anda krn harga jam ini mahal shrsnya sesuai dgn kualitas thank,2,Negative
Amat sangat mengecewakan. Saya batalkan pembelian dikarenakan salah kirim dan juga diminta menunggu untuk retur barang karena stok kosong. Respon penjual dalam penyelesain retur barang amat sangat lambat.,amat sangat mengecewakan saya batalkan pembelian dikarenakan salah kirim dan juga diminta menunggu untuk retur barang karena stok kosong respon penjual dalam penyelesain retur barang amat sangat lambat,2,Negative
Belum 1 bulan udah rusak. Dikira abis baterai tapi ternyata baterai masih full. Pas cek ke toko jam ternyata sebelumnya udah pernah dibongkar dan ada karet yg lepas.,belum bulan udah rusak dikira abis baterai tapi ternyata baterai masih full pas cek ke toko jam ternyata sebelumnya udah pernah dibongkar dan ada karet yg lepas,1,Negative
"Respon dan packing sgt baik namun Agak kecewa karena tnyt mesin china bukan jepang,jdi kurang percaya ini ori..",respon dan packing sgt baik namun agak kecewa karena tnyt mesin china bukan jepang jdi kurang percaya ini ori,2,Negative
"Kaya jam anak anak ternyata pas dr dekat, build nya jelek. Masak casio 700rbuan kaya begini, oh iya sama bukan garansi casio indonesia, harusnya diketerangan dikasih tau kalau bukan barang resmi indo",kaya jam anak anak ternyata pas dr dekat build nya jelek masak casio rbuan kaya begini oh iya sama bukan garansi casio indonesia harusnya diketerangan dikasih tau kalau bukan barang resmi indo,2,Negative
"Tidak ada kartu garansi, katanya dari brand resmi. Ini original apa kw?
Jam nya sangat kecil, jauh dari perkiraan. Ini mah jam nya anak2.",tidak ada kartu garansi katanya dari brand resmi ini original apa kw jam nya sangat kecil jauh dari perkiraan ini mah jam nya anak,2,Negative
Lumayan dah buat koleksi Anak anak,lumayan dah buat koleksi anak anak,2,Negative
"Kaca jam ny lepas, g tanggung jwb",kaca jam ny lepas g tanggung jwb,2,Negative
kecil banget kecewa banget,kecil banget kecewa banget,1,Negative
Jamnya ukuranya kecil jd ngk sesuai ekspetasi,jamnya ukuranya kecil jd ngk sesuai ekspetasi,2,Negative
sy order yg tipe MQ 71 4BDF malah seller kirim tipe lain yg sy gak suka 😈 kalo emang gak ada stocknya tlg dong sy diberitahu jd sy bs pilih model lain. Sy kapoklah gak mau belanja di toko ini lg....,sy order yg tipe mq bdf malah seller kirim tipe lain yg sy gak suka kalo emang gak ada stocknya tlg dong sy diberitahu jd sy bs pilih model lain sy kapoklah gak mau belanja di toko ini lg,1,Negative
"Setelah menunggu dr retur, akhirnya dtg jg. Baiknya sebelum kirim pastikan kondisi jam dalam keadaan baik. Sehingga pembeli pun tdk dirugikan dgn waktu dan biaya retur. Update 25 Dec 2018: Baru coba dipakai hari ini sebagai hadiah natal keponakan saya, ternyata jam bermasalah lg tidak hidup kembali. Merasa malu sebagai hadiah tp mengecewakan.",setelah menunggu dr retur akhirnya dtg jg baiknya sebelum kirim pastikan kondisi jam dalam keadaan baik sehingga pembeli pun tdk dirugikan dgn waktu dan biaya retur update dec baru coba dipakai hari ini sebagai hadiah natal keponakan saya ternyata jam bermasalah lg tidak hidup kembali merasa malu sebagai hadiah tp mengecewakan,1,Negative
"Barangnya biasa aja, untung belinya dapet harga flash sale, kalo harga asli dbandingin sama barangnya mah mending beli merk lain aja. Mana sellernya juga ngeproses pembeliannya lama bener lagi. Tapi bintang diatas cuma buat penilaian barang, jadi masih bisa dapet bintang 2.",barangnya biasa aja untung belinya dapet harga flash sale kalo harga asli dbandingin sama barangnya mah mending beli merk lain aja mana sellernya juga ngeproses pembeliannya lama bener lagi tapi bintang diatas cuma buat penilaian barang jadi masih bisa dapet bintang,2,Negative
"Ketika menerima barang yang dikirim kondisinya mati, kemudian ketika di klaim responnya lama banget, apalagi ketika minta alamat toko offline untuk retur (mana biaya sendiri) terkesan ditutup2i.... sorry for this comment.....",ketika menerima barang yang dikirim kondisinya mati kemudian ketika di klaim responnya lama banget apalagi ketika minta alamat toko offline untuk retur mana biaya sendiri terkesan ditutup i sorry for this comment,2,Negative
"Walpaper dalam jam kacanya lecek setengah,ga sesuai dengan pict",walpaper dalam jam kacanya lecek setengah ga sesuai dengan pict,2,Negative
"Sangat mengecewakan. Sudah retur untuk perbaikan, kembali masih ada cacatnya pula. Untuk harga segini sangat tidak worth",sangat mengecewakan sudah retur untuk perbaikan kembali masih ada cacatnya pula untuk harga segini sangat tidak worth,1,Negative
"Buckle harga 200ribu. Waktu datang, kondisi sudah banyak lecet dan baretnya. Seller cuma mengatakan &#34;kalau besi memang gitu, nanti juga akan lecet karena pemakaian.&#34; Fungsi deploynya juga suka ngadat. Sangat kecewa dengan kualitas yang tidak sebanding dengan harganya.",buckle harga ribu waktu datang kondisi sudah banyak lecet dan baretnya seller cuma mengatakan kalau besi memang gitu nanti juga akan lecet karena pemakaian fungsi deploynya juga suka ngadat sangat kecewa dengan kualitas yang tidak sebanding dengan harganya,1,Negative
"Respon lama, seller tdk komunikatif😧",respon lama seller tdk komunikatif,1,Negative
"waduhhh bro kurang teliti dalam QC , tp utk harga segitu ok lah ... ada yg bopeng dibagian lingkaran jam dan pengaitnya ane kira stainles ternyata plastik... thx yah overall saya puas bro ...",waduhhh bro kurang teliti dalam qc tp utk harga segitu ok lah ada yg bopeng dibagian lingkaran jam dan pengaitnya ane kira stainles ternyata plastik thx yah overall saya puas bro,2,Negative
"Jam nya beda dengan yg pernah sy beli dulu ditoko ini jg. ""tidak ada logo & merk NIXON nya yg skrng.",jam nya beda dengan yg pernah sy beli dulu ditoko ini jg tidak ada logo merk nixon nya yg skrng,2,Negative
"packingan cmn buble 1 lapis , bahkan jamnya masih kelihatan dari luar, lain kali tolong diperhatikan packingannya",packingan cmn buble lapis bahkan jamnya masih kelihatan dari luar lain kali tolong diperhatikan packingannya,1,Negative
"proses pengirimannya agak lambat,memakan wak tu seminggu untuk sampe kerumah",proses pengirimannya agak lambat memakan wak tu seminggu untuk sampe kerumah,1,Negative
"barang sudah sampe,thanks. lumayan bagus",barang sudah sampe thanks lumayan bagus,2,Negative
apik tenan brooooooooooooooooooooooooooooooooooooooooooooooooo,apik tenan brooooooooooooooooooooooooooooooooooooooooooooooooo,2,Negative
barang sudah sampai.....................................................................................................,barang sudah sampai,2,Negative
oke makasih barang saya udah sampai,oke makasih barang saya udah sampai,1,Negative
"gak bisa disetting 24jam, ada harga ada rupa",gak bisa disetting jam ada harga ada rupa,2,Negative
waduh baru sekali kena air langsung masuk deh air nya katanya kuat air dan saya cuma pake sambil wudhu apalagi kalo pake renang hadeuh,waduh baru sekali kena air langsung masuk deh air nya katanya kuat air dan saya cuma pake sambil wudhu apalagi kalo pake renang hadeuh,2,Negative
saya kecewa gan... baru pakai sekali knapa lansung berembun... setelah kena air,saya kecewa gan baru pakai sekali knapa lansung berembun setelah kena air,2,Negative
"sip, . ,......... .....,.. ..     ........ .",sip,1,Negative
------------------------------------------------,,1,Negative
"3 hari baru dikirim, mana barangnya salah juga",hari baru dikirim mana barangnya salah juga,1,Negative
merk berbeda dengan deskripsi dan foto,merk berbeda dengan deskripsi dan foto,2,Negative
kurang mumuaskan kabelnya,kurang mumuaskan kabelnya,2,Negative
gimana mau review dikirim jugal kagak padahal di diskusi ngomong ready,gimana mau review dikirim jugal kagak padahal di diskusi ngomong ready,2,Negative
"tidak bisa dipakai.  maaf lama balasnya.  beli mahal2 tetapi tdk bs dipakai.  g recomended. 
terima kasih. 
sy rugi banyak sekali",tidak bisa dipakai maaf lama balasnya beli mahal tetapi tdk bs dipakai g recomended terima kasih sy rugi banyak sekali,1,Negative
Barang yg dikirim tdk sesuai keterangan .. proses refound 2minggu,barang yg dikirim tdk sesuai keterangan proses refound minggu,1,Negative
"Tidak dapat batrai, produk sudah usang seperti barang bekas",tidak dapat batrai produk sudah usang seperti barang bekas,1,Negative
Tidak ada softcase nya.,tidak ada softcase nya,1,Negative
"Sudah chat minta nota tapi g dikasih,dimintain solusi gak dibalas,barang dikirim tanpa bubblewarp.mohon diperbaiki pelayanan kedepannya !",sudah chat minta nota tapi g dikasih dimintain solusi gak dibalas barang dikirim tanpa bubblewarp mohon diperbaiki pelayanan kedepannya,1,Negative
produk yg dikirim kualitas jelek sekali,produk yg dikirim kualitas jelek sekali,1,Negative
"Barangnya tidak sampai, sampainya ke orang lain atas nama “erna” entah siapa",barangnya tidak sampai sampainya ke orang lain atas nama erna entah siapa,1,Negative
beli disini karena ada softcasenya. diterima tidak ada softcasenya.,beli disini karena ada softcasenya diterima tidak ada softcasenya,2,Negative
Kabelnya putus ga konek.,kabelnya putus ga konek,1,Negative
"Pengiriman lambat bilang bisa hari itu juga, ternyata harus nunggu 2 hari",pengiriman lambat bilang bisa hari itu juga ternyata harus nunggu hari,2,Negative
"Foto barang tidak sesuai dengan deskripsi barang, mohon gambarnya diubah. Gambarnya MD to HDMI, deskripsi barang MD to VGA.",foto barang tidak sesuai dengan deskripsi barang mohon gambarnya diubah gambarnya md to hdmi deskripsi barang md to vga,1,Negative
Barang yg dikirim tidak sesuai dengan yang dipesan..,barang yg dikirim tidak sesuai dengan yang dipesan,1,Negative
"Converter usb to vga tidak terpakai, saya masih tetap barus bayar. Semoga berkah ya.. Thanks!",converter usb to vga tidak terpakai saya masih tetap barus bayar semoga berkah ya thanks,1,Negative
"Gan....pesan 2 barang, yg datang (dikirim) cuman 1 barang....gimana nich...RUGI BANYAK klo gini",gan pesan barang yg datang dikirim cuman barang gimana nich rugi banyak klo gini,1,Negative
"Produk belum sampai,,dan uang belum d kmbalikan",produk belum sampai dan uang belum d kmbalikan,1,Negative
tampilan mouse nya beda sama yang lain,tampilan mouse nya beda sama yang lain,2,Negative
Barang sdh sampai.... sayang kemasan kurang rapi (bisa di bilang rusak) tapi barang msh aman... mohon d tingkatkan pengemasannya...,barang sdh sampai sayang kemasan kurang rapi bisa di bilang rusak tapi barang msh aman mohon d tingkatkan pengemasannya,2,Negative
Bisa dipakai tapi daya lemah bila dipakai lebih dari dua slot.,bisa dipakai tapi daya lemah bila dipakai lebih dari dua slot,2,Negative
"Barang rusak, katanya bisa di bailikin?",barang rusak katanya bisa di bailikin,1,Negative
"posisi semua port usb on semua lampu hidup, dicolok kabel ke 1 keyboard xternal - ok, docolok kabel ke 2 kabel speaker laptop, coba di lubang ke 3,4,5,6,7 semua lampu mati. kenapa gtu ya ...?",posisi semua port usb on semua lampu hidup dicolok kabel ke keyboard xternal ok docolok kabel ke kabel speaker laptop coba di lubang ke semua lampu mati kenapa gtu ya,1,Negative
Barang sih cukup bisa digunakan tapi kirim barang tidak sesuai seharusnya warna hitam,barang sih cukup bisa digunakan tapi kirim barang tidak sesuai seharusnya warna hitam,2,Negative
Barang palsu nih.. saya coba hubungkan ternyata tidak terdetect sebagai USB 3.0. Sangat mengecewakan.,barang palsu nih saya coba hubungkan ternyata tidak terdetect sebagai usb sangat mengecewakan,1,Negative
Warnanya tdk sesuai pesanan. Tdk ada chat/pemberitahuan jg.,warnanya tdk sesuai pesanan tdk ada chat pemberitahuan jg,2,Negative
Mantapppp.............................,mantapppp,2,Negative
"Pengiriman lama sekali &amp;amp; tidak ada follow up dari seller mengenai komplain tsb, packaging&#39;y pun hanya dgn plastik kresek, kualitas barang biasa saja, semua lubang berfungsi hanya saja utk dicolok dgn usb otg sangat sangat keras &amp;amp; susah sekali.",pengiriman lama sekali amp amp tidak ada follow up dari seller mengenai komplain tsb packaging y pun hanya dgn plastik kresek kualitas barang biasa saja semua lubang berfungsi hanya saja utk dicolok dgn usb otg sangat sangat keras amp amp susah sekali,2,Negative
"mengecewakan, tidak sesuai deskripsi, tidak compatible dengan usb 3.0",mengecewakan tidak sesuai deskripsi tidak compatible dengan usb,1,Negative
"tulisannya doang usb 3.0,  aslinya usb 2.0 cuman warna portnya aja biru. not recomended gan",tulisannya doang usb aslinya usb cuman warna portnya aja biru not recomended gan,2,Negative
Analog kanan tidak bisa dipakai,analog kanan tidak bisa dipakai,2,Negative
"Payah ... sudah di tulisin di keterangan minta Mtech ... ehhh di kirimnya apa, maksa banget!!",payah sudah di tulisin di keterangan minta mtech ehhh di kirimnya apa maksa banget,1,Negative
Pesen nya Joystick Merk M-Tech yang di kirim nya Beda Merk NISUTA 😠😠,pesen nya joystick merk m tech yang di kirim nya beda merk nisuta,2,Negative
"Produknya belum diterima sampai saat ini.  Tapi sudah ada yang centang selesai.  Sangat kecewa.
Selesai transaksi otomatis dari Tokopedia.  Tokopedia untuk merevisi kebijakan mereka untuk otomatis transaksi selesai bila 2 hari barang diterima.  Masalahnya kalau barang tidak diterima oleh pemesan, tetapi jatuh ke tangan orang lain.  Maka otomatis 2 hari transaksi selesai.",produknya belum diterima sampai saat ini tapi sudah ada yang centang selesai sangat kecewa selesai transaksi otomatis dari tokopedia tokopedia untuk merevisi kebijakan mereka untuk otomatis transaksi selesai bila hari barang diterima masalahnya kalau barang tidak diterima oleh pemesan tetapi jatuh ke tangan orang lain maka otomatis hari transaksi selesai,1,Negative
"Dilapaknya merk mtech,  tp yg dikirim nisuta
Barang sangkat ringkih dan enteng
Sblm beli mhn hati gan, biar ane aja yg kecewa",dilapaknya merk mtech tp yg dikirim nisuta barang sangkat ringkih dan enteng sblm beli mhn hati gan biar ane aja yg kecewa,1,Negative
"Kualitas produk : 👍 (kapasitornya terbakar 2 biji)
pelayanan : 👍👍👍👍
Pengiriman : 👍👍👍👍👍",kualitas produk kapasitornya terbakar biji pelayanan pengiriman,2,Negative
"Packing rapi ,tapi barang ķotor ga sesuai merk dideskripsi,berdebu,ada yang bocel atau lecet analaognya
.
Tapi berfungsi dgn baik",packing rapi tapi barang otor ga sesuai merk dideskripsi berdebu ada yang bocel atau lecet analaognya tapi berfungsi dgn baik,2,Negative
"Makasih ya mas sudah salah kirim, next time dicek dulu ya😘",makasih ya mas sudah salah kirim next time dicek dulu ya,1,Negative
"kurang memuaskan gan, barang diterima satu tombol nya tidak berfungsi dan tidak sesuai deskripsi. Kecewa berat gan",kurang memuaskan gan barang diterima satu tombol nya tidak berfungsi dan tidak sesuai deskripsi kecewa berat gan,1,Negative
Gamepad cuma satu doang yg bisa,gamepad cuma satu doang yg bisa,1,Negative
barangnya sih cepat sampai tapi tidak bisa berfungsi/rusak,barangnya sih cepat sampai tapi tidak bisa berfungsi rusak,1,Negative
"STICKNYA ATU DOANG YG NYALA,,",sticknya atu doang yg nyala,2,Negative
Saya sedang menunggu uang pengembalian krn tidak bisa dikembalikan dgn barang yg sama...,saya sedang menunggu uang pengembalian krn tidak bisa dikembalikan dgn barang yg sama,2,Negative
Gan saya mintanya RJ45 ko dikasih tang RJ nya?,gan saya mintanya rj ko dikasih tang rj nya,1,Negative
"Barang yg di pesan tidak sesuai pesanan...( pesan 2 jenis barang )yg datang...cuman satu, RUGI.....banyak",barang yg di pesan tidak sesuai pesanan pesan jenis barang yg datang cuman satu rugi banyak,1,Negative
Barang tidak sesuai gambar dan ekspektasi,barang tidak sesuai gambar dan ekspektasi,1,Negative
"Barang di retur gara2 pointer mouse ga jalan alias ga bisa d gunakan... Ongkir retur di bebankan ke pembeli smua smpai biaya kirim balik,,, pelapak nya ga mau rugi banget... Untung mouse nya yang retur berjalan dengan baik,,  dan bisa di gunakan n lancar..",barang di retur gara pointer mouse ga jalan alias ga bisa d gunakan ongkir retur di bebankan ke pembeli smua smpai biaya kirim balik pelapak nya ga mau rugi banget untung mouse nya yang retur berjalan dengan baik dan bisa di gunakan n lancar,1,Negative
Mouse nya gak ikut kursor,mouse nya gak ikut kursor,2,Negative
Kecewa.. sudah tulis pesan warna hitam. Yang dikirim malah warna putih..,kecewa sudah tulis pesan warna hitam yang dikirim malah warna putih,1,Negative
"Baru 2 hari sudah tidak nyala mousenya, apakah karena battery nya habis? Padahal saya pakai battery bawaannya. Mouse kadang nyala kadang mati, tolong pencerahaannya",baru hari sudah tidak nyala mousenya apakah karena battery nya habis padahal saya pakai battery bawaannya mouse kadang nyala kadang mati tolong pencerahaannya,1,Negative
sip lah walaupun lama banget,sip lah walaupun lama banget,2,Negative
Kemasan nya kurang rapih,kemasan nya kurang rapih,2,Negative
"Gambar di iklan hitam , ga dikasih keterangan warna  dikirimnya putih .. ga ada usb receiver nya penjualnya ga kasih solusi .. mau di komplain nnt kasian duitnya ga masuk.. ikhlasin aja lah ..",gambar di iklan hitam ga dikasih keterangan warna dikirimnya putih ga ada usb receiver nya penjualnya ga kasih solusi mau di komplain nnt kasian duitnya ga masuk ikhlasin aja lah,1,Negative
"Barang yang dikirimkan tidak bisa dipakai (rusak). Minta solusi via chat, tidak ditanggapin. Seller kurang bertanggung jawab dalam hal garansi barang cacat. Seller berdalih barang dites normal sebelum dikirim. Tetapi saat barang sampai, seller lepas tangan. Ya sudah lah...",barang yang dikirimkan tidak bisa dipakai rusak minta solusi via chat tidak ditanggapin seller kurang bertanggung jawab dalam hal garansi barang cacat seller berdalih barang dites normal sebelum dikirim tetapi saat barang sampai seller lepas tangan ya sudah lah,1,Negative
"barang sudah diterima dengan cepat, tetapi seharusnya sebelum dikirim harus di check atau di coba dahulu karena saya beli dua mouse yang berfungsi hanya satu unit. tetapi proses refund berjalan dengan baik.",barang sudah diterima dengan cepat tetapi seharusnya sebelum dikirim harus di check atau di coba dahulu karena saya beli dua mouse yang berfungsi hanya satu unit tetapi proses refund berjalan dengan baik,2,Negative
"Ntah saya lagi apes atau bukan, tapi port usb yg saya terima ga bisa mendeteksi usb 3.0. Semua portnya hanya bisa mendeteksi 2.0. Padahal tujuan saya beli ini supaya bisa mendeteksi usb 3.0.
Untuk pelayanan dari sellernya sendiri baik, tapi saya cuma kecewa sama produk ini saja.",ntah saya lagi apes atau bukan tapi port usb yg saya terima ga bisa mendeteksi usb semua portnya hanya bisa mendeteksi padahal tujuan saya beli ini supaya bisa mendeteksi usb untuk pelayanan dari sellernya sendiri baik tapi saya cuma kecewa sama produk ini saja,2,Negative
"sumpahh kecewa parahhh, sia - sia gw bayar mahal buat go send instant courier 3 jam, barang dateng 6 jam kemudian
gilaa gilaa gilaaa
sumpahh nyesel gw beli disini, respon lama pulaa
gw sampe dimarahin cust sama atasan, gw mesen instant karna urgent tapi apa yang gw dapet???",sumpahh kecewa parahhh sia sia gw bayar mahal buat go send instant courier jam barang dateng jam kemudian gilaa gilaa gilaaa sumpahh nyesel gw beli disini respon lama pulaa gw sampe dimarahin cust sama atasan gw mesen instant karna urgent tapi apa yang gw dapet,1,Negative
Pertama ini toko besar tapi packing nya pelit sampe bungkus usb hubnya robek kedua saran buat yg mau beli untuk konek ke keyboard atau mouse mending jangan pakai yg murah karena output gk ngangkat jadi suka disconnect gitu,pertama ini toko besar tapi packing nya pelit sampe bungkus usb hubnya robek kedua saran buat yg mau beli untuk konek ke keyboard atau mouse mending jangan pakai yg murah karena output gk ngangkat jadi suka disconnect gitu,2,Negative
Baru pake 3minggu ...dah rusak euyy,baru pake minggu dah rusak euyy,2,Negative
"Tidak berfungsi, saya coba diberbagai komputer tidak bisa koneksi dengan flashdis, kecewa",tidak berfungsi saya coba diberbagai komputer tidak bisa koneksi dengan flashdis kecewa,1,Negative
minta warna apa yg dtg warna apa,minta warna apa yg dtg warna apa,1,Negative
"Nih gara&#34; salah pilih kurir jadi ane ngomel&#34;, mf soalnya ane juga di omelin pelanggan gara&#34; lama barangnya",nih gara salah pilih kurir jadi ane ngomel mf soalnya ane juga di omelin pelanggan gara lama barangnya,1,Negative
rusak gabisa dipake. mati matian,rusak gabisa dipake mati matian,2,Negative
Pengiriman barang lambat,pengiriman barang lambat,2,Negative
Penjual tidak mau menanggapi keluhan kerusakan barang pembeli,penjual tidak mau menanggapi keluhan kerusakan barang pembeli,1,Negative
lumaaayaaaaannnn.......,lumaaayaaaaannnn,1,Negative
Koneksi jelek... Sering tidak terbaca.... Repot mesti re plug ulang kalau tidak terbaca...,koneksi jelek sering tidak terbaca repot mesti re plug ulang kalau tidak terbaca,1,Negative
Analog kanan gak bisa berfungsi (maklum harganya kelewat murah),analog kanan gak bisa berfungsi maklum harganya kelewat murah,1,Negative
"perasaan ane dah bilang tolong kirim barang dengan kualitas terbaik deh..
ini arah di pencet di lepas gak balik..
tp yasudahlah..
ckckck
-_-&#34;",perasaan ane dah bilang tolong kirim barang dengan kualitas terbaik deh ini arah di pencet di lepas gak balik tp yasudahlah ckckck,2,Negative
"Barang rusak, tidak bisa dipakai error terusss",barang rusak tidak bisa dipakai error terusss,1,Negative
"Penjual gk ada respon, barang eror",penjual gk ada respon barang eror,1,Negative
"Maaf, entah dari sananya kualitas produknya sudah kurang bagus, atau barangnya defect, belom ada 1 seminggu dipakai tapi analog kirinya sudah macet (suka keatas sendiri).",maaf entah dari sananya kualitas produknya sudah kurang bagus atau barangnya defect belom ada seminggu dipakai tapi analog kirinya sudah macet suka keatas sendiri,2,Negative
Dikirim barang ruksak wkwkwk,dikirim barang ruksak wkwkwk,1,Negative
"Barang tidak sampai sudah sekitar 1 bulan, katanya ada masalah dengan JNE, padahal barang sudah diterima kembali oleh penjual pada tanggal 7 januari 2019. Saya minta dikirim ulang karena saya tidak mau rugi di ongkir, tapi penjual tidak ada respons. Otomatis pada tanggal 14 januari 2019, uang seharga nominal barang kembali ke saldo saya sedangkan uang untuk ongkir hangus, saya jadi rugi.",barang tidak sampai sudah sekitar bulan katanya ada masalah dengan jne padahal barang sudah diterima kembali oleh penjual pada tanggal januari saya minta dikirim ulang karena saya tidak mau rugi di ongkir tapi penjual tidak ada respons otomatis pada tanggal januari uang seharga nominal barang kembali ke saldo saya sedangkan uang untuk ongkir hangus saya jadi rugi,1,Negative
"Barang rusak, stik retak dikirim",barang rusak stik retak dikirim,1,Negative
"Trims, joystick sudah sampe (pengiriman cepat), seller fast response.",trims joystick sudah sampe pengiriman cepat seller fast response,2,Negative
"Framenya clunky. Tombol mappingnya gabener , o jadi segitiga .dll 
Yah budget gaming boz.",framenya clunky tombol mappingnya gabener o jadi segitiga dll yah budget gaming boz,2,Negative
Stick yang datang ada 2 tombol yang tidak berfungsi,stick yang datang ada tombol yang tidak berfungsi,2,Negative
"Masa dikirimnya ke nomer 3 padahal di situ sudah tertulis alamatnya nomer 33
Untungnya masih tetangga saya jadi tau",masa dikirimnya ke nomer padahal di situ sudah tertulis alamatnya nomer untungnya masih tetangga saya jadi tau,2,Negative
barang sudah sampai dan langsung ditest. Button arah bawah tidak berfungsi. Padahal deskripsi ditest sebelum dikirim.,barang sudah sampai dan langsung ditest button arah bawah tidak berfungsi padahal deskripsi ditest sebelum dikirim,1,Negative
"Ga kedetect
Ga bisa dipake
zzzzzz",ga kedetect ga bisa dipake zzzzzz,1,Negative
"Barang ga bisa di pake, gimana dong saya mau tuker tolong dongg, punya orang soalnyaaa",barang ga bisa di pake gimana dong saya mau tuker tolong dongg punya orang soalnyaaa,1,Negative
tidak bisa digunakan,tidak bisa digunakan,2,Negative
"Pesan 2pcs tp dikirimnya satu, minta tlg dikirim kekurangan barang tp katanya gak bs, cm bisa di transfer balik uangnya.",pesan pcs tp dikirimnya satu minta tlg dikirim kekurangan barang tp katanya gak bs cm bisa di transfer balik uangnya,2,Negative
"lumayanlah tapi analog kiri stiknya gak berfungsi,  padahal udah saya setting di emulatornya,  tapi analog kanannya bisa.",lumayanlah tapi analog kiri stiknya gak berfungsi padahal udah saya setting di emulatornya tapi analog kanannya bisa,2,Negative
bingung install softwarenya gak komplit atau memang gak support di windows 8,bingung install softwarenya gak komplit atau memang gak support di windows,1,Negative
"barang sampe, sablon miring",barang sampe sablon miring,2,Negative
Barang nya ga dateng tpi tulisannya sudah datang,barang nya ga dateng tpi tulisannya sudah datang,1,Negative
Gabisa d pake. Ga nyala sama sekali,gabisa d pake ga nyala sama sekali,1,Negative
"Sudah chat minta nota tapi g dikasih,dimintain solusi gak dibalas,barang dikirim tanpa bubblewarp.mohon diperbaiki pelayanan kedepannya !",sudah chat minta nota tapi g dikasih dimintain solusi gak dibalas barang dikirim tanpa bubblewarp mohon diperbaiki pelayanan kedepannya,1,Negative
"Barang tak terkirim, tpi udah refund kok",barang tak terkirim tpi udah refund kok,1,Negative
kabelnya lumayan Cuman kurang cocok untuk ap outdoor,kabelnya lumayan cuman kurang cocok untuk ap outdoor,1,Negative
"Murah boleh lah tapi jangan kedekut, kasih dus buat packing nya jadi barang ga ancur macam nih.",murah boleh lah tapi jangan kedekut kasih dus buat packing nya jadi barang ga ancur macam nih,1,Negative
"Paking ga pake babelwraap,barang ga sesuai pesanan,ada 1 dus genius isi logitec ,wrna juga ga sesuai...parah,jadi ragu ori bukan barangnya,ga sesuai deskripsi",paking ga pake babelwraap barang ga sesuai pesanan ada dus genius isi logitec wrna juga ga sesuai parah jadi ragu ori bukan barangnya ga sesuai deskripsi,1,Negative
"paket sudah diterima,packing ala kadarnya",paket sudah diterima packing ala kadarnya,2,Negative
Kirimnya ga sesuai pesen warna biru dikirim warna putih....... kecewa -_-,kirimnya ga sesuai pesen warna biru dikirim warna putih kecewa,1,Negative
"cepet rusak analognya, jadi skrg pake yg normal lagi...kurang bagus",cepet rusak analognya jadi skrg pake yg normal lagi kurang bagus,2,Negative
"barang sudah sampai,,respon cpat lumayan gan",barang sudah sampai respon cpat lumayan gan,2,Negative
"BARANG RUSAK DIJUAL, KIPAS KAGA MUTER",barang rusak dijual kipas kaga muter,1,Negative
Barangnya pecah ketika sampai,barangnya pecah ketika sampai,1,Negative
sangat tidak recommend. tidak sesuai gambar (kualitas sangat rendah). kipas mau copot. waktu sampai barang nya patah dan penjual tidak ada respon sama sekali.,sangat tidak recommend tidak sesuai gambar kualitas sangat rendah kipas mau copot waktu sampai barang nya patah dan penjual tidak ada respon sama sekali,1,Negative
Jelek Tidak bagus 👎👎👎👎👎,jelek tidak bagus,1,Negative
Baru dipake sehari udh rusak,baru dipake sehari udh rusak,1,Negative
walau barang berbeda tetapi respons penjual cukup bagus,walau barang berbeda tetapi respons penjual cukup bagus,2,Negative
barang sampai sesuai deskripsi tapi kenapa waktu di pakai langsung rusak ya? kayaknya ga kuat tenaga nya klo sampai 10 meter.... klo pakai yang pendek bisa jalan,barang sampai sesuai deskripsi tapi kenapa waktu di pakai langsung rusak ya kayaknya ga kuat tenaga nya klo sampai meter klo pakai yang pendek bisa jalan,1,Negative
"Barang tidak bisa di pakai, gak ada merek, gak ada quality check slot usm female gak bisa buat dimasukin usb male 🙂 seller juga gak gentle karna sudah request cancel masih saja di kirim 🙂",barang tidak bisa di pakai gak ada merek gak ada quality check slot usm female gak bisa buat dimasukin usb male seller juga gak gentle karna sudah request cancel masih saja di kirim,1,Negative
