text,text_clean,rating,sentiment,is_augmented
Okey thanks bosss yaa....,okey thanks bosss yaa,5,Positive,False
Brng sampai dengan cpt Thanks y,brng sampai dengan cpt thanks y,5,Positive,False
thanks ya boss semoga bermanfaat,thanks ya boss semoga bermanfaat,5,Positive,False
Barangnya keren. Tp packingnya biasa aj,barangnya keren tp packingnya biasa aj,5,Positive,False
Pas dan sesuai dengan pesanan,pas dan sesuai dengan pesanan,5,Positive,False
Sangat fast respon mantappu jiwaa,sangat fast respon mantappu jiwaa,5,Positive,False
Bagus dan packing juga rapi..makasih ya,bagus dan packing juga rapi makasih ya,5,Positive,False
"bagus, bahan nyaman dan sesuai dg keinginan",bagus bahan nyaman dan sesuai dg keinginan,5,Positive,False
barang sesuai dan produk bekerja dgn baik,barang sesuai dan produk bekerja dgn baik,5,Positive,False
Sudah diterima dengan baik.. thx&#39;s Gan..,sudah diterima dengan baik thx s gan,5,Positive,False
semoga awet dipakai. thanks gan.. harganya juga terjangkau,semoga awet dipakai thanks gan harganya juga terjangkau,4,Positive,False
"Respon dan pengiriman cepat, packing rapi, barang sesuai gambar &amp; berfungsi dengan baik",respon dan pengiriman cepat packing rapi barang sesuai gambar amp berfungsi dengan baik,5,Positive,False
"packing bagus banget, barangnya lancar, semoga awet...",packing bagus banget barangnya lancar semoga awet,5,Positive,False
barang sdh diterima..cepat dan mangstabbbb,barang sdh diterima cepat dan mangstabbbb,5,Positive,False
Terimakasih order telah sampai.,terimakasih order telah sampai,5,Positive,False
"terima kasih barang sudah diterima dan cepat ,cuma sayang sekali tampilan layarnya agak kurang jelas",terima kasih barang sudah diterima dan cepat cuma sayang sekali tampilan layarnya agak kurang jelas,4,Positive,False
bagus dan berfungsi baik,bagus dan berfungsi baik,4,Positive,False
Bagusss banget..... Lembut bahannya... Cocok dipake buat bayi... Ngga nyesel deh beli di sini...,bagusss banget lembut bahannya cocok dipake buat bayi ngga nyesel deh beli di sini,5,Positive,False
"Yaah untuk harga 10ribuan lumayan laah, terjangkau.. mudah2an aweet",yaah untuk harga ribuan lumayan laah terjangkau mudah an aweet,4,Positive,False
"Barang sesuai pesanan, sukses terus gan",barang sesuai pesanan sukses terus gan,5,Positive,False
top abissssssssssssss............,top abissssssssssssss,5,Positive,False
Sudah beli yang ke sekian kalinya 👍🏻👍🏻,sudah beli yang ke sekian kalinya,5,Positive,False
"Bagus,brg sesuai pesanan,respon cepat",bagus brg sesuai pesanan respon cepat,5,Positive,False
delivery cepat banget. barang sesuai foto + berfungsi dgn baik,delivery cepat banget barang sesuai foto berfungsi dgn baik,5,Positive,False
Mantap sesuai dgn kemauan 👍👍👍👍👍👍👍👍👍👍,mantap sesuai dgn kemauan,5,Positive,False
"Jangan ragu untuk belanja di sini, sangat rekomendasi",jangan ragu untuk belanja di sini sangat rekomendasi,5,Positive,False
"Sesuai deskripsi! , recommended seller!",sesuai deskripsi recommended seller,5,Positive,False
bagus... tapi belum di coba,bagus tapi belum di coba,5,Positive,False
"Packing rapi, product bagus",packing rapi product bagus,4,Positive,False
"Fast respon, pengiriman kilat. Recomendeed seller",fast respon pengiriman kilat recomendeed seller,5,Positive,False
Produk mantap sesuai deskripsi...Makasih gan.!,produk mantap sesuai deskripsi makasih gan,4,Positive,False
Kualitas produk sangat baik,kualitas produk sangat baik,5,Positive,False
Barang Sudah Sampai Sesuai Gambar Terima Kasih ....Sandalnya Jga Ringan Bngt Nya....!!!!!,barang sudah sampai sesuai gambar terima kasih sandalnya jga ringan bngt nya,4,Positive,False
Barang diterima sesuai pesanan.. siip,barang diterima sesuai pesanan siip,5,Positive,False
Barang bagus murah sesuai dengan harga.,barang bagus murah sesuai dengan harga,4,Positive,False
bagus namun untuk kabel cat 6 agak susah masuk karena kabel nya lebih tebal,bagus namun untuk kabel cat agak susah masuk karena kabel nya lebih tebal,5,Positive,False
👍🏻👍🏻👍🏻,,5,Positive,False
"Sy puas bisa beli murah dan 4pcs yg dipesan bisa fungsi semuanya, semoga awet dan bermanfaat. Sukses ya gan dan terimakasih.",sy puas bisa beli murah dan pcs yg dipesan bisa fungsi semuanya semoga awet dan bermanfaat sukses ya gan dan terimakasih,5,Positive,False
"bagus, sesuai spesifikasi dan keterangan",bagus sesuai spesifikasi dan keterangan,5,Positive,False
Goood... saya sangat suka skali..,goood saya sangat suka skali,5,Positive,False
tap mantap mantap mantap,tap mantap mantap mantap,5,Positive,False
Barang sdh diterima dgn baik. Sesuai pesanan.. Packing bagus.. Terimakasih...,barang sdh diterima dgn baik sesuai pesanan packing bagus terimakasih,5,Positive,False
Mantap..sesuai reques dan diskripsi,mantap sesuai reques dan diskripsi,5,Positive,False
mantaaaaaaaaaaaaaaaaaaaaaaaaappppp,mantaaaaaaaaaaaaaaaaaaaaaaaaappppp,5,Positive,False
Barang sdh sampai.. makasih gan cepat nyampenya 😀,barang sdh sampai makasih gan cepat nyampenya,5,Positive,False
terima kasih barang sudah di terima. sukses terus ya,terima kasih barang sudah di terima sukses terus ya,5,Positive,False
Respon cepat dan on time,respon cepat dan on time,5,Positive,False
Barang ok sesuai pesanan dan berjalan dg baik..,barang ok sesuai pesanan dan berjalan dg baik,5,Positive,False
barang sudah sampai..bagus sesuai deskripsi,barang sudah sampai bagus sesuai deskripsi,5,Positive,False
"pengiriman cepat, produk bagus, sesuai harapan",pengiriman cepat produk bagus sesuai harapan,5,Positive,False
"Barang sudah diterima dg baik, Terima Kasih",barang sudah diterima dg baik terima kasih,5,Positive,False
Ukuran dan warna sesuai...pas bngt..bahannya beludru gitu....bagus..,ukuran dan warna sesuai pas bngt bahannya beludru gitu bagus,5,Positive,False
Barang berfungsi dengan baik,barang berfungsi dengan baik,5,Positive,False
"Mantaapp, sesuai deskripsi, responsif",mantaapp sesuai deskripsi responsif,4,Positive,False
"lumayan kak, dpt tambahan koleksi bru, moga2 tahan lama",lumayan kak dpt tambahan koleksi bru moga tahan lama,5,Positive,False
"Barang original, sesuai deskripsi, seller responsif",barang original sesuai deskripsi seller responsif,5,Positive,False
barang joss terima kasih banyak,barang joss terima kasih banyak,5,Positive,False
sudah sampai makasih yah,sudah sampai makasih yah,4,Positive,False
Busyet cepat x sampainya....tq gan,busyet cepat x sampainya tq gan,5,Positive,False
Barang bagus sesuai diskripsinya.. Thanks,barang bagus sesuai diskripsinya thanks,4,Positive,False
bagus.... nyaman dipake..... tq,bagus nyaman dipake tq,5,Positive,False
jatidirinya sesuai .......,jatidirinya sesuai,5,Positive,False
"respon cepat, barang sesuai deskripsi",respon cepat barang sesuai deskripsi,5,Positive,False
bagus sesuai iklan............,bagus sesuai iklan,5,Positive,False
Barang ori dan proses cepat. Pertahankan bos,barang ori dan proses cepat pertahankan bos,5,Positive,False
Semoga awet dipakai sepatunya,semoga awet dipakai sepatunya,5,Positive,False
"Barang sudah sampai, packing rapi, proses juga cepat, dan seller pun sangat ramah.. Setelah dites, barang bagus, thank you....",barang sudah sampai packing rapi proses juga cepat dan seller pun sangat ramah setelah dites barang bagus thank you,5,Positive,False
"terima kasih raketnya sdh sampai lengkap dengan bonusnya....utk kualitas barang dan respon dr seller bagus...cuman kasih masukan aja..utk kurir pengiriman mohon ditambah pilihan lain, soalnya pake yg ini pengirimannya lelet banget",terima kasih raketnya sdh sampai lengkap dengan bonusnya utk kualitas barang dan respon dr seller bagus cuman kasih masukan aja utk kurir pengiriman mohon ditambah pilihan lain soalnya pake yg ini pengirimannya lelet banget,5,Positive,False
Produk oke..pelayanan oke..thanks,produk oke pelayanan oke thanks,5,Positive,False
"Trimakasih atas kerjasamanya, barang sesuai dgn benar. 
Semoga berfungsi dgn baik, salam #diy.",trimakasih atas kerjasamanya barang sesuai dgn benar semoga berfungsi dgn baik salam diy,5,Positive,False
Respon cepat. Trimakasih.,respon cepat trimakasih,5,Positive,False
"makasih promonya, quality ga usah ditanya namanya ori ya pasti bagus :D",makasih promonya quality ga usah ditanya namanya ori ya pasti bagus d,5,Positive,False
Jam nya bagus sesuai di foto...harga murah jam nya keren kaya jam mahal..,jam nya bagus sesuai di foto harga murah jam nya keren kaya jam mahal,5,Positive,False
"Awesome, fast and high quality A+++++++++++++++++++++++++++++++++++++++",awesome fast and high quality a,5,Positive,False
"Produk murah, fungsional",produk murah fungsional,5,Positive,False
"Produk bagus.. Buatan Malaysia.. Sesuai Deskripsi..
Packingnya Bulk.. Tapi overall aman..",produk bagus buatan malaysia sesuai deskripsi packingnya bulk tapi overall aman,5,Positive,False
"Packing rapi, tag &amp; buku lengkap, ada stempel garansinya",packing rapi tag amp buku lengkap ada stempel garansinya,5,Positive,False
Sesuai harapan 👍 terimakasih,sesuai harapan terimakasih,5,Positive,False
recomen seller pengiriman cepat,recomen seller pengiriman cepat,5,Positive,False
mantab nih jam tangannya... suka skali..,mantab nih jam tangannya suka skali,5,Positive,False
"Bagus, barang sesuai gambar",bagus barang sesuai gambar,5,Positive,False
Mantul........................,mantul,5,Positive,False
Mantap kiriman cpt fast respon barang bagus,mantap kiriman cpt fast respon barang bagus,5,Positive,False
Murah dan layanan ok,murah dan layanan ok,5,Positive,False
"Barang sesuai pesanan dan tepat waktu, thks gan",barang sesuai pesanan dan tepat waktu thks gan,4,Positive,False
"Produk sesuai yg dijual, ...mudah2an awet",produk sesuai yg dijual mudah an awet,5,Positive,False
"baru kasih ulasan,, barang sudah sampe,,blm bisa ngerakitnya,,",baru kasih ulasan barang sudah sampe blm bisa ngerakitnya,5,Positive,False
"Respon penjual sangat baik, pengiriman cepat. Barangnya bagus dan bekerja dengan baik.
Harga juga sangat bersaing!",respon penjual sangat baik pengiriman cepat barangnya bagus dan bekerja dengan baik harga juga sangat bersaing,5,Positive,False
mksihhhhhhhh yahhhhhhhhhhhhhhhh,mksihhhhhhhh yahhhhhhhhhhhhhhhh,5,Positive,False
Top top top top top markotop,top top top top top markotop,5,Positive,False
“Saya senang produknya dipaketkan dengan rapi dan tidak ada cacat. Recommended!,saya senang produknya dipaketkan dengan rapi dan tidak ada cacat recommended,5,Positive,False
"Mantap bngt pokonya ,recommended banget",mantap bngt pokonya recommended banget,5,Positive,False
"pengiriman cepat, barang oke",pengiriman cepat barang oke,5,Positive,False
thank you. pengiriman cepat. packing rapi,thank you pengiriman cepat packing rapi,5,Positive,False
"Produk sesuai, packing rapi, nyaman dipakai kerja sehari2",produk sesuai packing rapi nyaman dipakai kerja sehari,5,Positive,False
Mantep cuco meong pokonya tooop bgt lah .. Thanks bgt gan,mantep cuco meong pokonya tooop bgt lah thanks bgt gan,5,Positive,False
siiiiip.... :-) produk sdh syn terima cepat tepat aman dan sesuai pesanan,siiiiip produk sdh syn terima cepat tepat aman dan sesuai pesanan,4,Positive,False
respon bagus. good seller. harga jg oke,respon bagus good seller harga jg oke,5,Positive,False
Ori   siiiiiiipp.................,ori siiiiiiipp,5,Positive,False
Packing rapi and delivery tob!!!,packing rapi and delivery tob,5,Positive,False
Barang bagus hanya saja kita bayar pakai JNE YES di kirim pakai Reguler sedikit kecewa lah mudah-mudahan kedepannya tambah sportif aja,barang bagus hanya saja kita bayar pakai jne yes di kirim pakai reguler sedikit kecewa lah mudah mudahan kedepannya tambah sportif aja,4,Positive,False
Barang bagus.. pengiriman cepet..,barang bagus pengiriman cepet,5,Positive,False
"udah sampai tapi blm dicoba nih , coba duluuuuuuu",udah sampai tapi blm dicoba nih coba duluuuuuuu,5,Positive,False
"belum dicoba, tapi smoga oke....dah langganan sama agan ini....",belum dicoba tapi smoga oke dah langganan sama agan ini,5,Positive,False
barang oke. pengiriman cepat.,barang oke pengiriman cepat,5,Positive,False
Kotaknya bagus walau agak ribet merakitnya,kotaknya bagus walau agak ribet merakitnya,5,Positive,False
Kecewa..!Barang rusak mau retur penjual minta kita yg bayar ongkir pp...🙁🙁🙁,kecewa barang rusak mau retur penjual minta kita yg bayar ongkir pp,4,Positive,False
Barang kualitas bagus sesuai dgn deskripsi produk,barang kualitas bagus sesuai dgn deskripsi produk,5,Positive,False
"terima kasih paket sudah sampai dengan selamat,dan di pasang langsung cocok..",terima kasih paket sudah sampai dengan selamat dan di pasang langsung cocok,5,Positive,False
"baik,packing baik,kecepatan oke,thanks",baik packing baik kecepatan oke thanks,5,Positive,False
"cepet sudah sampai, bungkus rapih",cepet sudah sampai bungkus rapih,5,Positive,False
Respon cepat barang sesuai deskripsi,respon cepat barang sesuai deskripsi,5,Positive,False
Bagus barangnya puas pelayanannya,bagus barangnya puas pelayanannya,5,Positive,False
Baik dan berfungsi........,baik dan berfungsi,4,Positive,False
Mluncur dgn selamat. Tq,mluncur dgn selamat tq,5,Positive,False
"Recommended seller.
tinggal cari Isi nya nih
dah gatel mau gebukin nyaa",recommended seller tinggal cari isi nya nih dah gatel mau gebukin nyaa,5,Positive,False
"Paket sudah di terima, semoga awet terpakai, Bintang 4 cukup mewakili Kepuasan kami",paket sudah di terima semoga awet terpakai bintang cukup mewakili kepuasan kami,4,Positive,False
Terimakasih barang sudah sampai,terimakasih barang sudah sampai,5,Positive,False
Terima kasih banyak barang seusai dengan gambar,terima kasih banyak barang seusai dengan gambar,5,Positive,False
Barang sesuai ekspektasi,barang sesuai ekspektasi,5,Positive,False
Sesuai deskripsi. Oke seller nya. Pengiriman cepat.,sesuai deskripsi oke seller nya pengiriman cepat,5,Positive,False
Kemasannya ok tp blm sempet coba dulu,kemasannya ok tp blm sempet coba dulu,4,Positive,False
"Sudah pernah beli yang ukuran kecil via Line. Kualitasnya sangat sangat baik. Produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran. Saya coba menggunakan produk dengan dicampurkan sedikit air untuk membersihkan sepatu bahan kanvas. Busa yang dihasilkan banyak dan efektif juga membersihkan kotoran di lapisan bawah sol sepatu, tanpa membuat karet solnya menjadi kesat dan kering. Highly recommended buat pemalas seperti saya yang tetap ingin sepatu bersih dalam waktu singkat.",sudah pernah beli yang ukuran kecil via line kualitasnya sangat sangat baik produk dikirimkan dengan tutorial penggunaan yang sangat efektif membersihkan kotoran saya coba menggunakan produk dengan dicampurkan sedikit air untuk membersihkan sepatu bahan kanvas busa yang dihasilkan banyak dan efektif juga membersihkan kotoran di lapisan bawah sol sepatu tanpa membuat karet solnya menjadi kesat dan kering highly recommended buat pemalas seperti saya yang tetap ingin sepatu bersih dalam waktu singkat,5,Positive,False
"Thank&#39;s , barang sudah sampai dngan cepat ........",thank s barang sudah sampai dngan cepat,5,Positive,False
"Barang sudah sampai, sesuai dengan gambar, dan berfungsi dengan baik 👍",barang sudah sampai sesuai dengan gambar dan berfungsi dengan baik,5,Positive,False
super sekali.. di mall gak ketemu size ini..,super sekali di mall gak ketemu size ini,5,Positive,False
Barang mantaap makasih gan.,barang mantaap makasih gan,5,Positive,False
Barang lumayan sesuai harga,barang lumayan sesuai harga,4,Positive,False
"barang sesuai  pesanan,, packing rapi, recomended seller",barang sesuai pesanan packing rapi recomended seller,5,Positive,False
Terimakasih kak hanya dengan 4jam barang sdh diterima,terimakasih kak hanya dengan jam barang sdh diterima,5,Positive,False
Barang sesuai depkripsi dan pengiriman cepat,barang sesuai depkripsi dan pengiriman cepat,5,Positive,False
Barang sudah sampai terima kasih,barang sudah sampai terima kasih,5,Positive,False
Thank U.. Barang sesuai deskripsi &amp; gambar..,thank u barang sesuai deskripsi amp gambar,5,Positive,False
sip bgus trims y......,sip bgus trims y,5,Positive,False
"Packing rapi dan barang sesuai gambar, bahan sepatu jg bagus. Puasssss...😍👍👍",packing rapi dan barang sesuai gambar bahan sepatu jg bagus puasssss,4,Positive,False
Produk sesuai foto dan deskripsi. Size agak kecil dr normal. Jd next time hra order 1 no lebih besar dr yg biasa dipakai.,produk sesuai foto dan deskripsi size agak kecil dr normal jd next time hra order no lebih besar dr yg biasa dipakai,4,Positive,False
mantap..................,mantap,5,Positive,False
Alus dan bagus sandalnya nyaman dipake.. trmksh..,alus dan bagus sandalnya nyaman dipake trmksh,4,Positive,False
Bola basketnya enak buat dribbling.. gak licin,bola basketnya enak buat dribbling gak licin,5,Positive,False
barang sesuai pesanan dan.berfungsi dengan baik terima kasih,barang sesuai pesanan dan berfungsi dengan baik terima kasih,5,Positive,False
Barag sesuai yang di posting di Toped....Terima Kasih,barag sesuai yang di posting di toped terima kasih,4,Positive,False
berfungsi dengan baik untuk macbook a1278 early 2011,berfungsi dengan baik untuk macbook a early,5,Positive,False
Barang sudah sampai sesuai pesanan terimankasih bos ... respon cepat nya,barang sudah sampai sesuai pesanan terimankasih bos respon cepat nya,5,Positive,False
barangnya dah samapai dg selamat,barangnya dah samapai dg selamat,5,Positive,False
"fastrespon , barang sesuai pesanan😀",fastrespon barang sesuai pesanan,5,Positive,False
Harga sesuai dgn kualitas....trims,harga sesuai dgn kualitas trims,5,Positive,False
Mantap sesuai pesanan......😊😊😊,mantap sesuai pesanan,5,Positive,False
"thanks beother paking rapih, fast respon, next order lagi ya",thanks beother paking rapih fast respon next order lagi ya,5,Positive,False
Makasih dropship aman pengiriman cepat,makasih dropship aman pengiriman cepat,5,Positive,False
Barang sesuai order thanks seller,barang sesuai order thanks seller,5,Positive,False
Puas bangettttt deh pokoknya,puas bangettttt deh pokoknya,5,Positive,False
"Barang sudah diterima..,, semoga awet hp nya...",barang sudah diterima semoga awet hp nya,5,Positive,False
barang nya udah smpe ya dn sesuai makasih,barang nya udah smpe ya dn sesuai makasih,4,Positive,False
"barang bagus, proses cepat, packing rapiii",barang bagus proses cepat packing rapiii,5,Positive,False
mantap...gan...langsung dicoba...ok..banget...terima kasih,mantap gan langsung dicoba ok banget terima kasih,5,Positive,False
Barang bagus sayang nyampenya lama,barang bagus sayang nyampenya lama,5,Positive,False
Recomanded seller....,recomanded seller,5,Positive,False
Thanks gan brg hagus pngrimn cepat respon cpt packing rapih recommended gan,thanks gan brg hagus pngrimn cepat respon cpt packing rapih recommended gan,5,Positive,False
Pesanan gx cocok dgn yg d gambar,pesanan gx cocok dgn yg d gambar,2,Negative,True
gx sesuai dgn dgn yg d,gx sesuai dgn dgn yg d,2,Negative,True
Pengiriman dan respon super cepat. Tpi produk tidak pas gambar dan tidak kuat untuk menembus jok motor.,pengiriman dan respon super cepat tpi produk tidak pas gambar dan tidak kuat untuk menembus jok motor,2,Negative,True
Pengiriman dan respon super cepat. Tpi barang tidak Pengiriman sesuai gambar dan tidak kuat untuk menembus jok motor.,pengiriman dan respon super cepat tpi barang tidak pengiriman sesuai gambar dan tidak kuat untuk menembus jok motor,2,Negative,True
produk yg dikirim tidak pas pesanan,produk yg dikirim tidak pas pesanan,1,Negative,True
yg barang yg dikirim tidak pesanan,yg barang yg dikirim tidak pesanan,1,Negative,True
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,1,Negative,True
"Php, bilang isi ada pas dipesen berbeda, mubajir rp50.000 ternyata isinya isi ga cocok",php bilang isi ada pas dipesen berbeda mubajir rp ternyata isinya isi ga cocok,1,Negative,True
produk kurang baik copot&#34; terus tmpat taro isinya,produk kurang baik copot terus tmpat taro isinya,2,Negative,True
barang jelek copot&#34; terus terus taro isinya,barang jelek copot terus terus taro isinya,2,Negative,True
Beli staples gak jual isinya... hanya sekali pake.... ckckck,beli staples gak jual isinya hanya sekali pake ckckck,1,Negative,True
Beli isinya... staples gak jual isinya... hanya pake.... ckckck,beli isinya staples gak jual isinya hanya pake ckckck,1,Negative,True
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi barangnya layak apa gak gitu loh. (Isinya karatan semua)",sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua,1,Negative,True
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi barangnya layak karatan apa loh. (Isinya karatan semua)",sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak karatan apa loh isinya karatan semua,1,Negative,True
"Produk tidak sesuai, order prohex yg dikirim ini",produk tidak sesuai order prohex yg dikirim ini,2,Negative,True
"Produk tidak sesuai, dikirim order prohex yg dikirim ini",produk tidak sesuai dikirim order prohex yg dikirim ini,2,Negative,True
brg sdh diterima.................,brg sdh diterima,2,Negative,True
brg sdh sdh diterima.................,brg sdh sdh diterima,2,Negative,True
tidak bisa buat masang jok gak ke pake,tidak bisa buat masang jok gak ke pake,2,Negative,True
tidak bisa buat masang tidak jok gak ke pake,tidak bisa buat masang tidak jok gak ke pake,2,Negative,True
"barang datang cacat ,gak bisa di gunakan harusnya sblum di kirim di coba dulu",barang datang cacat gak bisa di gunakan harusnya sblum di kirim di coba dulu,1,Negative,True
"barang datang cacat ,gak di bisa di harusnya sblum di kirim di coba dulu",barang datang cacat gak di bisa di harusnya sblum di kirim di coba dulu,1,Negative,True
Kecewa baru dipakey isiya kluar tiba 2 3 buah Dipapan nggak nempel,kecewa baru dipakey isiya kluar tiba buah dipapan nggak nempel,1,Negative,True
Kecewa baru dipakey isiya kluar sampai 2 3 buah Dipapan nempel nggak nempel,kecewa baru dipakey isiya kluar sampai buah dipapan nempel nggak nempel,1,Negative,True
Barang kurang bagus. Pengiriman pakai pos lama sekali.,barang kurang bagus pengiriman pakai pos lama sekali,2,Negative,True
Barang Pengiriman pakai pos Barang lama sekali.,barang pengiriman pakai pos barang lama sekali,2,Negative,True
"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",hasil staples tidak rapat pada bidang mungkin dapat produk cacat hadeeuh,1,Negative,True
"Hasil staples tidak tidak rapat bidang, dapat produk cacat..hadeeuh",hasil staples tidak tidak rapat bidang dapat produk cacat hadeeuh,1,Negative,True
item standart n biasa aja kurang good...,item standart n biasa aja kurang good,2,Negative,True
standart n biasa aja kurang good... n,standart n biasa aja kurang good n,2,Negative,True
Barangnya rusak..kecewa berat,barangnya rusak kecewa berat,1,Negative,True
Barangnya berat berat,barangnya berat berat,1,Negative,True
Beli 5 tdk bs dipakai semua,beli tdk bs dipakai semua,1,Negative,True
Beli 5 tdk bs bs dipakai semua,beli tdk bs bs dipakai semua,1,Negative,True
"Straples nya gk bs dipake, udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi 😢",straples nya gk bs dipake udh dicoba berkali bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok palu lgi,1,Negative,True
"Straples nya gk bs dipake, udh dicoba berkali2 bwt pasang jaring gk nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi 😢",straples nya gk bs dipake udh dicoba berkali bwt pasang jaring gk nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok palu lgi,1,Negative,True
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,mungkin karena harga juga jadi susah dipake hehe staplesnya gak nancep sampe oenuh,2,Negative,True
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep karena sampe oenuh..,mungkin karena harga juga jadi susah dipake hehe staplesnya gak nancep karena sampe oenuh,2,Negative,True
gagal.........................,gagal,1,Negative,True
gagal.........................,gagal,1,Negative,True
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,1,Negative,True
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,1,Negative,True
"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",seller tidak komunikatif niatnya pake instant courier biar segera sampai tp barang dikirim hari kemudian tanpa kabar sama sekali ditanya ga berani balas udah ngajuin pembatalan tetep aja dikirim tanpa dosa semoga ga ada lagi yg buyer dapet perlakuan kyk gini,1,Negative,True
"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG HARI KEMUDIAN TANPA KABAR SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN AJA DIKIRIM TANPA DOSA.. GA UDAH ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",seller tidak komunikatif niatnya pake instant courier biar segera sampai tp barang hari kemudian tanpa kabar sekali ditanya ga berani balas udah ngajuin pembatalan aja dikirim tanpa dosa ga udah ada lagi yg buyer dapet perlakuan kyk gini,1,Negative,True
produk nya kayak bekas ya gan.. tapi pengiriman ceoat,produk nya kayak bekas ya gan tapi pengiriman ceoat,2,Negative,True
barang nya bekas ya ya pengiriman ceoat,barang nya bekas ya ya pengiriman ceoat,2,Negative,True
item ada yg gak cocok sama buset lama banget dikirimnya.....kapok,item ada yg gak cocok sama buset lama banget dikirimnya kapok,1,Negative,True
barang ada sesuai gak sesuai sama buset lama banget dikirimnya.....kapok,barang ada sesuai gak sesuai sama buset lama banget dikirimnya kapok,1,Negative,True
Model brang sdh cocok deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang matching tapi ukuran tinggi spatunya kyk ukuran kaki no 40. Aku kasih foto sepatunya yg tak coba aku pakai.,model brang sdh cocok deskripsi tapi kenapa ukuran nya ndak sesuai ya ukuran panjang matching tapi ukuran tinggi spatunya kyk ukuran kaki no aku kasih foto sepatunya yg tak coba aku pakai,2,Negative,True
Model brang deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang ukuran sesuai tapi ukuran tinggi ukuran kaki no 40. Aku kasih foto sepatunya coba aku,model brang deskripsi tapi kenapa ukuran nya ndak sesuai ya ukuran panjang ukuran sesuai tapi ukuran tinggi ukuran kaki no aku kasih foto sepatunya coba aku,2,Negative,True
"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",tidak recommended kaki tidak bisa masuk sepatu seperti sablonan kualitas not ok,1,Negative,True
"Tidak recommended, kaki tidak bisa kaki masuk, sepatu seperti sablonan, kualitas not ok",tidak recommended kaki tidak bisa kaki masuk sepatu seperti sablonan kualitas not ok,1,Negative,True
"Apakah sepatunya boleh di retur? Kualitas bahan kanan dan kiri berbeda, tebelnya beda, tinggi nya juga beda",apakah sepatunya boleh di retur kualitas bahan kanan dan kiri berbeda tebelnya beda tinggi nya juga beda,1,Negative,True
Apakah sepatunya di boleh di Kualitas bahan kanan dan kiri tebelnya tinggi juga,apakah sepatunya di boleh di kualitas bahan kanan dan kiri tebelnya tinggi juga,1,Negative,True
Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya,brng sy pesan uang sy transfr tp brmg tdk sy trima jgn pesan pke wahana cargo tdk ad solusi dr toped ut mngembalikan uang saya,1,Negative,True
Brng pesan. Uang sy tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan Jgn. uang saya,brng pesan uang sy tp brmg tdk sy trima jgn pesan pke wahana cargo tdk ad solusi dr toped ut mngembalikan jgn uang saya,1,Negative,True
"Tidak cocok permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat 👏👏",tidak cocok permintaan warnanya pas di tanya ngaku nya udh chat kita ga jawab pdhl ga ada chat,1,Negative,True
